	E1	E3	E5	E7	E8	F1	F3	F7	G3	G5	G7	G8	I1	I3	I5	I7	I8	P1	P3	P5	P7	S1	S3	S8
Aqu2.1.17303_001	1	5	3	27	3	10	2	2	9	2	1	3	1	13	19	1	21	9	13	5	10	20	2	1
Aqu2.1.17304_001	4	3	0	13	4	3	1	1	1	3	2	0	2	5	9	9	3	5	10	6	6	1	5	0
Aqu2.1.17305_001	0	3	0	11	0	0	0	0	0	1	0	0	4	3	3	0	0	0	4	0	0	0	1	1
Aqu2.1.17306_001	2	1	1	6	0	12	0	0	1	2	1	3	3	2	16	1	4	0	9	6	1	2	0	0
Aqu2.1.17307_001	4	0	2	3	2	7	1	0	3	12	0	5	3	11	11	11	5	18	17	4	0	14	4	4
Aqu2.1.17308_001	2	2	0	8	0	0	1	1	1	1	2	0	0	5	9	0	1	1	0	0	0	3	0	1
Aqu2.1.17309_001	0	1	3	5	0	1	0	0	19	0	0	1	7	18	49	0	1	0	1	9	0	9	0	2
Aqu2.1.17310_001	0	0	0	0	0	0	3	0	1	0	0	0	0	2	5	0	0	0	3	0	0	0	0	0
Aqu2.1.17311_001	3	0	0	1	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	3	0	0
Aqu2.1.17312_001	1	0	3	2	0	0	0	1	7	0	0	0	0	10	40	0	4	0	3	0	1	4	0	1
Aqu2.1.17313_001	0	0	1	3	0	0	0	1	5	1	0	0	5	8	20	0	10	0	2	0	0	0	1	1
Aqu2.1.17314_001	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Aqu2.1.17315_001	0	4	0	10	0	3	0	1	0	2	1	0	0	3	3	0	9	0	15	0	0	1	0	0
Aqu2.1.17316_001	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0
Aqu2.1.17317_001	0	1	3	1	0	2	0	0	5	6	1	3	3	6	19	1	2	0	3	10	1	0	0	0
Aqu2.1.17318_001	0	0	1	3	0	1	1	0	5	1	0	0	0	9	2	0	2	2	8	12	6	5	2	0
Aqu2.1.17319_001	17	67	89	203	26	47	10	26	39	44	16	20	33	142	95	70	41	105	191	125	76	76	24	28
Aqu2.1.17320_001	0	0	0	5	0	0	0	0	0	0	0	0	1	3	4	0	1	1	1	0	0	0	0	1
